# Matched by Sabine Bellstedt: sabine.bellstedt@gmail.com, via to file GC_Catalogue_Matcher.py
#  		Matched catalogues from files:
# 	/Users/sbellstedt/Dropbox/PhD_Analysis/Data/SLUGGS_GC_RVs/NGC1023_GC_NGC1023ARemoved.txt
# 	/Users/sbellstedt/Dropbox/PhD_Analysis/Data/SLUGGS_GC_RVs/NGC1023_GC_phot.cat
# 		ID_RV, ID_phot, RA, Dec, Vel, VelErr, g, gErr, z, zErr, MatchFlag
 NGC1023_S33 hst_71   40.069390  39.060170   528  13     23.151      0.019    21.824      0.017  1
 NGC1023_S34 hst_138   40.081190  39.070130   539  15     22.750      0.015    21.344      0.013  1
 NGC1023_S35 hst_177   40.140150  39.069970   849  15     23.212      0.038    22.126      0.044  1
 NGC1023_S36 hst_235   40.083190  39.061260   472   6     21.737      0.019    20.426      0.018  1
 NGC1023_S37 hst_249   40.087000  39.058330   592  14     22.885      0.045    21.494      0.049  1
 NGC1023_S38 hst_269   40.110280  39.062680   885  19     22.007      0.026    20.760      0.033  1
 NGC1023_S39 hst_281   40.107310  39.054190   626  27     22.581      0.026    21.711      0.031  1
 NGC1023_S41 hst_319   40.120620  39.074090   872  19     23.029      0.034    22.070      0.039  1
 NGC1023_S46 hst_34   40.176800  39.034090   604   6     21.804      0.007    20.897      0.006  1
 NGC1023_S47 hst_42   40.088050  39.015220   665  17     23.469      0.017    22.573      0.015  1
 NGC1023_S48 hst_46   40.039290  39.057170   478  15     22.506      0.012    21.604      0.011  1
 NGC1023_S50 hst_52   40.044840  39.062670   563   9     22.346      0.010    21.127      0.008  1
 NGC1023_S51 hst_62   40.054130  39.074940   431  10     22.238      0.009    21.320      0.008  1
 NGC1023_S52 hst_64   40.058980  39.054360   702  21     22.871      0.015    21.933      0.016  1
 NGC1023_S53 hst_69   40.068100  39.058030   380  17     23.356      0.021    21.956      0.018  1
 NGC1023_S54 hst_73   40.070130  39.064480   638   5     21.092      0.005    20.272      0.005  1
 NGC1023_S55 hst_76   39.973640  39.041400   545  13     23.032      0.014    21.789      0.011  1
 NGC1023_S56 hst_98   40.201910  39.074160   537  10     22.173      0.009    21.164      0.007  1
 NGC1023_S57 hst_104   40.238560  39.086900   504  13     22.581      0.011    21.424      0.008  1
 NGC1023_S58 hst_116   40.061720  39.092120   684   7     22.782      0.012    21.604      0.011  1
 NGC1023_S59 hst_119   40.079280  39.090970   739   8     22.596      0.012    21.389      0.009  1
 NGC1023_S60 hst_125   40.085670  39.082690   420   8     21.569      0.006    20.743      0.008  1
 NGC1023_S62 hst_152   40.102300  39.042700   869   5     20.436      0.008    19.549      0.006  1
 NGC1023_S64 hst_159   40.123590  39.034520   551  10     22.271      0.018    21.417      0.016  1
 NGC1023_S65 hst_160   40.124230  39.057830   893  17     22.796      0.029    21.947      0.035  1
 NGC1023_S66 hst_172   40.132620  39.045620   677   9     21.988      0.016    21.197      0.016  1
 NGC1023_S67 hst_179   40.141430  39.045220   564  17     23.293      0.034    22.233      0.029  1
 NGC1023_S68 hst_183   40.149470  39.076730   870   6     21.562      0.013    20.678      0.012  1
 NGC1023_S70 hst_221   40.088810  39.040470   699  14     22.271      0.022    21.463      0.018  1
 NGC1023_S71 hst_223   40.093350  39.038040   668   7     22.165      0.018    20.890      0.015  1
 NGC1023_S72 hst_226   40.087580  39.074170   737   6     21.360      0.012    20.486      0.012  1
 NGC1023_S73 hst_233   40.100430  39.078120   590  12     22.274      0.018    21.312      0.019  1
 NGC1023_S74 hst_270   40.112600  39.064570   683  13     22.386      0.029    21.114      0.033  1
 NGC1023_S75 hst_277   40.102260  39.051100   465  20     22.806      0.027    21.588      0.025  1
 NGC1023_S76 hst_284   40.103760  39.049760   703   9     22.102      0.018    21.006      0.018  1
 NGC1023_S77 hst_288   40.024090  39.051630   646   7     22.202      0.018    20.961      0.013  1
 NGC1023_S78 hst_292   40.036960  39.043050   713  11     23.119      0.038    22.249      0.029  1
 NGC1023_S79 hst_303   40.166360  39.093520   781  14     22.537      0.021    21.552      0.018  1
 NGC1023_S80 hst_311   40.184100  39.082110   766   6     22.408      0.020    21.002      0.013  1
 NGC1023_S81 hst_326   40.127310  39.077680   747   9     22.480      0.022    21.166      0.017  1
 NGC1023_S82 hst_336   40.130330  39.059350   323   8     22.209      0.038    21.259      0.056  1
 NGC1023_S83 hst_344   40.113340  39.072870   662   8     22.787      0.046    21.378      0.041  1
 NGC1023_S84   99.9   40.056831  39.110569   892   6     99.900     99.900    99.900     99.900  1
 NGC1023_S85   99.9   40.087799  39.126644   683   8     99.900     99.900    99.900     99.900  1
 NGC1023_S86   99.9   40.256485  39.076706   549  12     99.900     99.900    99.900     99.900  1
 NGC1023_S87   99.9   40.114285  39.118507   764   7     99.900     99.900    99.900     99.900  1
 NGC1023_S88   99.9   40.212242  39.040630   375  13     99.900     99.900    99.900     99.900  1
 NGC1023_S89   99.9   40.081341  39.137505   782  11     99.900     99.900    99.900     99.900  1
 NGC1023_S91   99.9   39.943123  39.057114   579  22     99.900     99.900    99.900     99.900  1
 NGC1023_S92   99.9   40.110996  39.175587   596  12     99.900     99.900    99.900     99.900  1
 NGC1023_S93   99.9   40.222916  39.068741   603   8     99.900     99.900    99.900     99.900  1
 NGC1023_S94   99.9   39.978680  39.088871   719  10     99.900     99.900    99.900     99.900  1
 NGC1023_S95   99.9   40.217800  39.049725   715  13     99.900     99.900    99.900     99.900  1
 NGC1023_S96   99.9   40.004482  39.090591   586  13     99.900     99.900    99.900     99.900  1
 NGC1023_S97   99.9   40.190685  39.046585   742  19     99.900     99.900    99.900     99.900  1
 NGC1023_S98   99.9   40.056725  39.072170   462  17     99.900     99.900    99.900     99.900  1
 NGC1023_S99 hst_211   40.074720  39.053480   432  14     23.182      0.035    21.710      0.026  1
NGC1023_S100 hst_220   40.085620  39.045170   509  20     23.476      0.058    22.481      0.038  1
NGC1023_S101 hst_225   40.135780  39.054200   745  12     23.034      0.029    22.013      0.029  1
NGC1023_S103 hst_238   40.091160  39.065750   474  25     22.678      0.050    21.797      0.086  1
NGC1023_S104 hst_240   40.101320  39.074310   527   5     20.886      0.013    19.894      0.012  1
NGC1023_S106 hst_258   40.093250  39.055570   479   6     20.787      0.010    19.869      0.012  1
NGC1023_S107 hst_322   40.124960  39.068180   835  13     22.760      0.031    21.457      0.028  1
NGC1023_S108 hst_339   40.079580  39.060120   381  12     22.799      0.047    21.523      0.049  1
NGC1023_S109 hst_345   40.115340  39.069100   764  10     21.625      0.027    20.679      0.043  1
NGC1023_S110 hst_53   40.044833  39.063917   436  32     23.052      0.015    22.208      0.017  1
NGC1023_S111 hst_162   40.124708  39.053500   774  19     23.225      0.034    22.328      0.040  1
